"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "vue", "SCSS", "JavaScript", "YAML", "comment", "blank", "total"
"e:\Code\WhatsPPT\src\hooks\useScreening.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 5, 31
"e:\Code\WhatsPPT\src\hooks\useSearch.ts", "TypeScript", 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 49, 444
"e:\Code\WhatsPPT\src\hooks\useSectionHandler.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 14, 92
"e:\Code\WhatsPPT\src\hooks\useSelectElement.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 6, 31
"e:\Code\WhatsPPT\src\hooks\useShapeFormatPainter.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"e:\Code\WhatsPPT\src\hooks\useSlideBackgroundStyle.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 8, 53
"e:\Code\WhatsPPT\src\hooks\useSlideHandler.ts", "TypeScript", 0, 0, 0, 0, 153, 0, 0, 0, 0, 15, 23, 191
"e:\Code\WhatsPPT\src\hooks\useSlideTheme.ts", "TypeScript", 0, 0, 0, 0, 340, 0, 0, 0, 0, 7, 33, 380
"e:\Code\WhatsPPT\src\hooks\useTextFormatPainter.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"e:\Code\WhatsPPT\src\hooks\useUniformDisplayElement.ts", "TypeScript", 0, 0, 0, 0, 216, 0, 0, 0, 0, 12, 33, 261
"e:\Code\WhatsPPT\src\main.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"e:\Code\WhatsPPT\src\plugins\directive\clickOutside.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"e:\Code\WhatsPPT\src\plugins\directive\contextmenu.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 12, 64
"e:\Code\WhatsPPT\src\plugins\directive\index.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"e:\Code\WhatsPPT\src\plugins\directive\tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 10, 67
"e:\Code\WhatsPPT\src\plugins\directive\tooltip.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"e:\Code\WhatsPPT\src\plugins\icon.ts", "TypeScript", 0, 0, 0, 0, 263, 0, 0, 0, 0, 1, 4, 268
"e:\Code\WhatsPPT\src\services\config.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"e:\Code\WhatsPPT\src\services\index.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 4, 6, 59
